programms,type,colors
Qatar Airways,Airline,#16302B
Lufthansa,Airline,#16302B
Everts Air,Airline,#16302B
United Airlines,Airline,#16302B
Mitsubishi A6M Zero,Fighter Aircraft,#694873
United Launch Alliance,Joint venture,#85B79D
ASM-135 ASAT,Missile,#E53504
Вега,Missile,#E53504
GGS WIND,Satellite,#1D8DCA
Inmarsat-5 F4,Satellite,#1D8DCA
OneWeb,Satellite,#1D8DCA
Амос-6,Satellite,#1D8DCA
Ka-Sat,Satellite,#1D8DCA
Jason-3,Satellite,#1D8DCA
Starlink,Satellite,#1D8DCA
SwissCube,Satellite,#1D8DCA
GSAT-17,Satellite,#1D8DCA
GSAT-19,Satellite,#1D8DCA
Аполлон,Space program,#EF9710
Артемида,Space program,#EF9710
Планк,Space station,#EF9710
МКС,Space station,#EF9710
InSight,Spacecraft,#5B4591
Дискавери,Spacecraft,#5B4591
Dragonfly,Spacecraft,#5B4591
Virgin Galactic,Spaceflight company,#60E200
